age group desc,birth count,birth count_pct,county name,low birth weight ind desc,sort,year desc
25 to 29,4,866,Franklin,Normal birth weight (2500g+),91,2006
40 to 44,347,85.9,Franklin,Normal birth weight (2500g+),811,2006
45 and older,0,0.0,Madison,Normal birth weight (2500g+),4609,2007
45 and older,0,0.0,Mahoning,Low birth weight (<2500g),4641,2007
18 to 19,0,0.0,Putnam,Low birth weight (<2500g),32277,2016
18 to 19,70,87.5,Richland,Normal birth weight (2500g+),32311,2016
Unknown,0,0.0,Putnam,Low birth weight (<2500g),32301,2016
18 to 19,10,12.5,Richland,Low birth weight (<2500g),32310,2016
40 to 44,*,*,Putnam,Normal birth weight (2500g+),32293,2016
20 to 24,399,92.6,Richland,Normal birth weight (2500g+),32314,2016
35 to 39,37,92.5,Putnam,Normal birth weight (2500g+),32290,2016
35 to 39,3,7.5,Putnam,Low birth weight (<2500g),32289,2016
Less than 15,0,0.0,Putnam,Low birth weight (<2500g),32298,2016
15 to 17,*,*,Ross,Normal birth weight (2500g+),32341,2016
18 to 19,53,82.8,Ross,Normal birth weight (2500g+),32344,2016
18 to 19,11,17.2,Ross,Low birth weight (<2500g),32343,2016
35 to 39,4,6.9,Ross,Low birth weight (<2500g),32355,2016
Less than 15,0,0.0,Ross,Low birth weight (<2500g),32364,2016
Unknown,0,0.0,Richland,Low birth weight (<2500g),32334,2016
35 to 39,54,93.1,Ross,Normal birth weight (2500g+),32356,2016
30 to 34,17,6.8,Richland,Low birth weight (<2500g),32319,2016
30 to 34,156,91.8,Ross,Normal birth weight (2500g+),32353,2016
Unknown,0,0.0,Ross,Low birth weight (<2500g),32367,2016
40 to 44,*,*,Ross,Normal birth weight (2500g+),32359,2016
Less than 15,*,*,Richland,Low birth weight (<2500g),32331,2016
Less than 15,0,0.0,Carroll,Total,15338,2011
Unknown,0,0.0,Carroll,Total,15341,2011
15 to 17,*,*,Carroll,Total,15314,2011
18 to 19,131,100.0,Clermont,Total,15416,2011
Unknown,0,0.0,Butler,Total,15308,2011
30 to 34,44,100.0,Carroll,Total,15326,2011
15 to 17,*,*,Belmont,Total,15215,2011
25 to 29,79,100.0,Carroll,Total,15323,2011
20 to 24,574,100.0,Clermont,Total,15419,2011
18 to 19,29,100.0,Champaign,Total,15350,2011
Less than 15,0,0.0,Champaign,Total,15371,2011
45 and older,0,0.0,Carroll,Total,15335,2011
20 to 24,116,100.0,Champaign,Total,15353,2011
15 to 17,57,100.0,Clark,Total,15380,2011
Less than 15,*,*,Clark,Total,15404,2011
40 to 44,*,*,Champaign,Total,15365,2011
18 to 19,47,100.0,Clinton,Total,15449,2011
30 to 34,102,100.0,Clinton,Total,15458,2011
35 to 39,106,100.0,Clark,Total,15395,2011
